features,condition,is_fault
"[-0.0254276  -0.01591774 -0.0678109  ... -0.30399106 -0.20550087
 -0.08196638]",Ball_007,1
[0.02099851 0.09165831 0.10662984 ... 0.13795026 0.21708949 0.26392875],Ball_007,1
[0.25361847 0.17894663 0.06476504 ... 0.26225098 0.37814369 0.39690729],Ball_007,1
"[ 0.29576643  0.10298268 -0.12130642 ... -0.11021303 -0.01665832
  0.10836436]",Ball_007,1
[0.19818118 0.25349927 0.27595761 ... 0.23392464 0.23976443 0.20188862],Ball_007,1
"[ 0.12569623  0.05391269 -0.01989746 ... -0.1540871  -0.09487955
 -0.03168188]",Ball_007,1
"[ 0.05416051  0.15818642  0.23595471 ... -0.32822071 -0.23466102
 -0.09136701]",Ball_007,1
[0.08779713 0.25302431 0.35781415 ... 0.12149776 0.14210022 0.18026694],Ball_007,1
"[ 0.23229469  0.22047835  0.14477307 ... -0.42143694 -0.30687472
 -0.17172858]",Ball_007,1
"[-0.03490249  0.08174977  0.17035798 ...  0.32350423  0.45544261
  0.54259122]",Ball_007,1
"[ 0.53643673  0.45827421  0.31734299 ... -0.31542676 -0.12913158
  0.05996   ]",Ball_007,1
[0.1887047  0.2402909  0.25501964 ... 0.26181283 0.32121229 0.30715861],Ball_007,1
[0.21524021 0.10392581 0.03545857 ... 0.22524928 0.2318881  0.17368897],Ball_007,1
"[ 0.09679899  0.03456831  0.00196673 ... -0.24732085 -0.34157492
 -0.39447608]",Ball_007,1
"[-0.37174281 -0.27494854 -0.14316753 ... -0.00783949 -0.03517234
 -0.01429353]",Ball_007,1
[0.04373934 0.116666   0.17268368 ... 0.3257826  0.27355497 0.20517761],Ball_007,1
"[ 0.13232954  0.04872207 -0.08223112 ...  0.28648062  0.3124263
  0.3043427 ]",Ball_007,1
[0.25502643 0.14639162 0.00289657 ... 0.05797051 0.21755541 0.36777952],Ball_007,1
[0.45636469 0.47148258 0.45086438 ... 0.33583813 0.4772079  0.51909526],Ball_007,1
"[ 0.47864225  0.37617425  0.22384681 ... -0.26284886 -0.2735501
 -0.24833035]",Ball_007,1
"[-0.17749885 -0.05743793  0.10290828 ... -0.32136368 -0.33092524
 -0.31975309]",Ball_007,1
"[-0.27697803 -0.18955102 -0.0706004  ... -0.28661845 -0.14440499
  0.0416318 ]",Ball_007,1
[0.26592676 0.46958275 0.57134134 ... 0.85638121 0.75583012 0.56282072],Ball_007,1
"[ 0.30809743  0.02277124 -0.27853075 ... -0.17922371 -0.11200556
 -0.05189021]",Ball_007,1
"[-0.03016516 -0.06310124 -0.1789873  ... -0.22766767 -0.32353703
 -0.35877034]",Ball_007,1
"[-0.37031214 -0.35422137 -0.31389563 ... -0.13626319 -0.16708437
 -0.16514836]",Ball_007,1
"[-0.16470912 -0.1626548  -0.16177535 ...  0.18091078  0.237457
  0.22914663]",Ball_007,1
"[ 0.14985864  0.03881353 -0.05618018 ...  0.2270676   0.28420465
  0.24606462]",Ball_007,1
"[ 0.13659429  0.01475123 -0.11246743 ...  0.17496948  0.01388917
 -0.17172858]",Ball_007,1
"[-0.31867181 -0.39289656 -0.38134756 ... -0.1001597  -0.0680357
 -0.01335369]",Ball_007,1
"[ 0.07547975  0.15441163  0.1843144  ... -0.35746717 -0.36287428
 -0.27465347]",Ball_007,1
"[-0.12017672  0.0260756   0.13221475 ... -0.28981694 -0.23003285
 -0.14165016]",Ball_007,1
"[-0.02684896  0.06901184  0.11546883 ... -0.56403258 -0.59521478
 -0.53076613]",Ball_007,1
"[-0.3963594  -0.22823977 -0.02501449 ... -0.1645983  -0.19855861
 -0.25397343]",Ball_007,1
"[-0.35182699 -0.42734236 -0.43158532 ... -0.19384913 -0.30177175
 -0.40576225]",Ball_007,1
"[-0.48921663 -0.49483169 -0.39575217 ... -0.11843928 -0.17541553
 -0.23705094]",Ball_007,1
"[-0.26846214 -0.25466103 -0.19898875 ...  0.13383823 -0.15458875
 -0.41939125]",Ball_007,1
"[-0.58302763 -0.62126111 -0.55578607 ... -0.14037741 -0.18606299
 -0.18911739]",Ball_007,1
"[-0.13817816 -0.05885376  0.02568975 ... -0.12986621 -0.26937897
 -0.37334549]",Ball_007,1
"[-0.42906041 -0.45235683 -0.43249954 ...  0.07716583  0.18792268
  0.28600549]",Ball_007,1
"[ 0.34504503  0.32239086  0.23082613 ...  0.16628536  0.01990624
 -0.11298419]",Ball_007,1
"[-0.2277176  -0.31694844 -0.34272715 ... -0.13854814 -0.09950772
 -0.03873112]",Ball_007,1
"[ 0.02810644  0.08646769  0.16617262 ... -0.07273814 -0.03054388
 -0.01758318]",Ball_007,1
"[-0.00174049  0.04164519  0.14058771 ... -0.09101772 -0.05785194
 -0.05095082]",Ball_007,1
"[-0.03490249  0.00484269  0.04755309 ...  0.28512236  0.27262313
  0.21738739]",Ball_007,1
[0.17307181 0.13931248 0.10942157 ... 0.15394708 0.0865577  0.04492078],Ball_007,1
"[ 0.01910458 -0.02016414 -0.06408934 ... -0.5699695  -0.64058685
 -0.62148349]",Ball_007,1
"[-0.52902556 -0.42829227 -0.34785573 ...  0.16400041  0.13608315
  0.09943455]",Ball_007,1
"[ 0.03473748 -0.04894522 -0.13619044 ...  0.03283609 -0.06155493
 -0.14729099]",Ball_007,1
"[-0.21208243 -0.24900677 -0.2185264  ...  0.28420225  0.26707642
  0.18919675]",Ball_007,1
"[ 0.07121726 -0.04941792 -0.13060921 ... -0.37757821 -0.28049458
 -0.13789035]",Ball_007,1
"[ 0.04989803  0.25727632  0.47690863 ... -0.06039767 -0.19161635
 -0.30378125]",Ball_007,1
"[-0.31771803 -0.25561095 -0.11339726 ...  0.24671859  0.14672839
  0.02330361]",Ball_007,1
"[-0.10217527 -0.19473937 -0.28457355 ...  0.03831952 -0.03470953
 -0.08431597]",Ball_007,1
"[-0.13296871 -0.1720929  -0.20457221 ...  0.38199714  0.57671583
  0.72024135]",Ball_007,1
"[ 0.78373808  0.7130555   0.52667812 ... -0.07639449  0.1059978
  0.27095727]",Ball_007,1
[0.36825365 0.37617425 0.31689703 ... 0.3093301  0.29112694 0.25735079],Ball_007,1
"[ 0.18823236  0.10534164  0.05360035 ... -0.40042769 -0.34574605
 -0.29533352]",Ball_007,1
"[-0.2537694  -0.18624666 -0.08269492 ... -0.16094194 -0.21938761
 -0.26194809]",Ball_007,1
"[-0.27745492 -0.26174018 -0.20317634 ...  0.24855882  0.08100434
 -0.11157398]",Ball_007,1
"[-0.27557007 -0.39054438 -0.44088365 ...  0.3381165   0.19301678
  0.02894218]",Ball_007,1
"[-0.1059654  -0.22163333 -0.3106401  ...  0.04745932  0.12266011
  0.16804814]",Ball_007,1
[0.18917932 0.15818642 0.05778572 ... 0.53326813 0.44295143 0.3179717 ],Ball_007,1
"[ 0.14038216 -0.08622041 -0.29993698 ... -0.04988603  0.15413435
  0.33347047]",Ball_007,1
"[ 0.42652503  0.42335346  0.34062227 ... -0.33597595 -0.27539161
 -0.17595695]",Ball_007,1
"[-0.0709072   0.04022936  0.14663497 ... -0.16551403  0.03147889
  0.2357246 ]",Ball_007,1
"[ 0.42037088  0.57574727  0.65322018 ... -0.15317356 -0.00786501
  0.11400294]",Ball_007,1
[0.23513332 0.32947001 0.37828387 ... 0.1941626  0.19301678 0.18825737],Ball_007,1
[0.19581036 0.20772232 0.20199015 ... 0.01546786 0.02268403 0.03082096],Ball_007,1
"[ 0.03331589  0.00578582 -0.08688252 ...  0.41810063  0.29159287
  0.14220034]",Ball_007,1
"[-0.00837289 -0.19568476 -0.37343172 ... -0.00738381  0.02036995
  0.0453916 ]",Ball_007,1
"[ 0.03331589 -0.01544595 -0.07897559 ... -0.11752574 -0.06386901
 -0.00818413]",Ball_007,1
[0.04373934 0.06570749 0.06941644 ... 0.15440276 0.18838416 0.19436676],Ball_007,1
"[ 0.1413314   0.05957374 -0.02315371 ...  0.1402352  -0.07405277
 -0.30378125]",Ball_007,1
"[-0.50107074 -0.59154228 -0.5650844  ... -0.10701455 -0.05924084
  0.01249276]",Ball_007,1
[0.09300885 0.18177828 0.2494451  ... 0.1553163  0.2300466  0.28695164],Ball_007,1
"[ 0.33602954  0.3563617   0.32666362 ... -0.29211722 -0.2203128
 -0.09371661]",Ball_007,1
"[ 0.09158727  0.25349927  0.36432522 ... -0.19247773 -0.23003285
 -0.21167395]",Ball_007,1
"[-0.15097016 -0.06640334  0.02615578 ...  0.18868574  0.24901634
  0.29305653]",Ball_007,1
"[ 0.30335125  0.25775128  0.17594144 ... -0.32776066 -0.13885163
  0.05244039]",Ball_007,1
"[ 0.19344181  0.30585779  0.38945524 ...  0.01821067 -0.00184794
 -0.04531044]",Ball_007,1
"[-0.1197021  -0.17728352 -0.18270886 ... -0.09101772  0.03518188
  0.14925138]",Ball_007,1
"[ 0.24603365  0.32001607  0.35736819 ... -0.24594945 -0.06710829
  0.11400294]",Ball_007,1
[0.30239747 0.46913041 0.57459687 ... 0.37698033 0.44665663 0.49091364],Ball_007,1
[0.51415918 0.50072645 0.40945669 ... 0.66398992 0.62346349 0.53930223],Ball_007,1
"[ 0.39430091  0.20442476 -0.03431795 ... -0.22355564 -0.36888691
 -0.43725539]",Ball_007,1
"[-0.4295373  -0.3518692  -0.22829522 ...  0.01455431  0.00231874
 -0.01100387]",Ball_007,1
"[-0.04011376 -0.08338876 -0.12967938 ... -0.18607856 -0.15088576
 -0.10311499]",Ball_007,1
"[-0.04769403  0.00437     0.0712761  ...  0.00495666  0.01713067
 -0.02275274]",Ball_007,1
"[-0.09554196 -0.16501602 -0.15200652 ... -0.17465382  0.00278245
  0.16522773]",Ball_007,1
[0.31852088 0.45307229 0.53738124 ... 0.17405594 0.15367065 0.12528235],Ball_007,1
"[ 0.11432809  0.12610185  0.14012167 ... -0.52245223 -0.65771508
 -0.69665702]",Ball_007,1
"[-0.59392797 -0.37686106 -0.11665279 ...  0.09636114  0.16662998
  0.23806744]",Ball_007,1
"[ 0.31045917  0.33982862  0.29689558 ... -0.31724508 -0.26474193
 -0.12379278]",Ball_007,1
[0.05795065 0.21102442 0.32200331 ... 0.08584994 0.17449965 0.2446454 ],Ball_007,1
[0.26070369 0.21339921 0.13826201 ... 0.32258411 0.33002046 0.24088335],Ball_007,1
"[ 0.06126844 -0.13764937 -0.31574637 ... -0.20070398 -0.29669096
 -0.39871121]",Ball_007,1
"[-0.41959074 -0.37025687 -0.23294662 ... -0.27062601 -0.12913158
 -0.01899317]",Ball_007,1
"[ 0.08258541  0.1652633   0.21035642 ... -0.16414262 -0.2207765
 -0.24222095]",Ball_007,1
"[-0.20497678 -0.13009979 -0.07571783 ... -0.29897426 -0.21475943
 -0.04954061]",Ball_007,1
"[ 0.15507036  0.3412535   0.44620406 ... -0.57226978 -0.64196243
 -0.60080344]",Ball_007,1
"[-0.46128452 -0.28107777 -0.08362699 ...  0.25129725  0.27679425
  0.28834833]",Ball_007,1
"[ 0.24460298  0.16432017  0.04522739 ... -0.22081283 -0.13052047
 -0.03920104]",Ball_007,1
[0.01815761 0.06759601 0.1103514  ... 0.13703672 0.36103765 0.50078058],Ball_007,1
[0.53643673 0.50497846 0.43411846 ... 0.11144223 0.18977306 0.26485237],Ball_007,1
"[ 0.32372125  0.35776396  0.39317904 ...  0.07716583  0.01759216
 -0.07585698]",Ball_007,1
"[-0.16281292 -0.20087312 -0.21992226 ...  0.08173572 -0.14579389
 -0.2986225 ]",Ball_007,1
"[-0.38548178 -0.38111307 -0.30829879 ... -0.28068153 -0.18282149
 -0.00066542]",Ball_007,1
"[ 0.18965167  0.33464932  0.38526319 ... -0.15774345 -0.17078735
 -0.13789035]",Ball_007,1
"[-0.10359458 -0.09612895 -0.09851101 ... -0.22675413 -0.41656641
 -0.55050003]",Ball_007,1
"[-0.64318386 -0.66703805 -0.59438419 ... -0.09833043 -0.09950772
 -0.11533379]",Ball_007,1
"[-0.14149595 -0.15888227 -0.13898217 ... -0.3273006  -0.31659255
 -0.29580659]",Ball_007,1
"[-0.24145656 -0.15227582 -0.02222334 ... -0.09101772 -0.28928056
 -0.43725539]",Ball_007,1
"[-0.49916318 -0.43254428 -0.26644514 ...  0.08128005  0.02222033
 -0.03967096]",Ball_007,1
"[-0.06522313 -0.0687623  -0.07292833 ... -0.59557932 -0.51791586
 -0.34090621]",Ball_007,1
"[-0.09554196  0.14591892  0.3015336  ... -0.23680966 -0.1439435
  0.02001237]",Ball_007,1
"[ 0.18538919  0.31248459  0.37456007 ... -0.02017952  0.05508346
  0.16945835]",Ball_007,1
"[ 0.2971971   0.38890766  0.4555024  ... -0.1001597   0.08887179
  0.22162252]",Ball_007,1
"[ 0.26592676  0.20489745  0.11407296 ... -0.01515242  0.1652433
  0.31702556]",Ball_007,1
[0.41230917 0.47618693 0.51318774 ... 0.34407533 0.29299064 0.20565068],Ball_007,1
"[ 0.12427691  0.08646769  0.09313945 ... -0.28572024 -0.3887885
 -0.43820153]",Ball_007,1
"[-0.40442111 -0.27730072 -0.09897704 ...  0.26225098  0.17218556
  0.05713958]",Ball_007,1
"[-0.03395507 -0.10320583 -0.16270518 ...  0.14891932 -0.02637815
 -0.14916976]",Ball_007,1
"[-0.20734533 -0.22399229 -0.18736026 ... -0.18607856  0.04582712
  0.27519239]",Ball_007,1
"[ 0.45447984  0.51440978  0.46156749 ... -0.18607856 -0.10413811
  0.0120242 ]",Ball_007,1
"[ 0.07832292  0.09779206  0.07964906 ... -0.09330267  0.01342769
  0.10178415]",Ball_007,1
"[ 0.16454457  0.21622634  0.2457213  ... -0.09604548 -0.04350372
 -0.01711326]",Ball_007,1
"[-0.01453158 -0.00129106  0.04429756 ...  0.00495666  0.09396367
  0.14454994]",Ball_007,1
[0.16122905 0.15771372 0.14570513 ... 0.53236992 0.51237402 0.40348526],Ball_007,1
"[ 0.26876539  0.12610185 -0.002686   ...  0.0730538   0.14904248
  0.22772741]",Ball_007,1
[0.28345813 0.30398057 0.2796814  ... 0.0566013  0.05739755 0.0759386 ],Ball_007,1
"[ 0.10485161  0.10015102  0.0382503  ... -0.02246469 -0.1999475
 -0.29767635]",Ball_007,1
"[-0.34519596 -0.3603506  -0.32830024 ... -0.61431019 -0.61558229
 -0.54534128]",Ball_007,1
"[-0.42052181 -0.29806319 -0.15712395 ... -0.48724694 -0.46191629
 -0.37052958]",Ball_007,1
"[-0.23434864 -0.04941792  0.1498905  ... -0.11752574 -0.23419953
 -0.36534831]",Ball_007,1
"[-0.46316937 -0.49198194 -0.42320121 ...  0.23712312 -0.05877713
 -0.39776506]",Ball_007,1
"[-0.69673175 -0.89965461 -0.98420063 ... -0.24275096 -0.22632987
 -0.20180475]",Ball_007,1
"[-0.12301989 -0.01638953  0.07639353 ...  0.06985312  0.04721601
  0.03129178]",Ball_007,1
"[ 0.0243163   0.01239227 -0.04966912 ... -0.61612851 -0.43784358
 -0.20086537]",Ball_007,1
"[ 0.08779713  0.32992235  0.47086583 ... -0.18516502 -0.10089662
  0.02424299]",Ball_007,1
"[ 0.13896284  0.24169316  0.31596051 ... -0.8323113  -0.76276973
 -0.57775804]",Ball_007,1
"[-0.34614974 -0.10556479  0.17407954 ...  0.46198126  0.38231482
  0.18731573]",Ball_007,1
"[-0.09175182 -0.34619231 -0.51531491 ...  0.10230244  0.02222033
 -0.04954061]",Ball_007,1
"[-0.09696354 -0.11500063 -0.09107011 ...  0.18914579  0.10645929
 -0.01382361]",Ball_007,1
"[-0.1263354  -0.21219749 -0.27946727 ... -0.25921222 -0.310114
 -0.30707023]",Ball_007,1
"[-0.23434864 -0.1022627   0.04755309 ...  0.12515411  0.07128429
  0.03928221]",Ball_007,1
"[ 0.00726182 -0.03903714 -0.09618531 ... -0.27840315 -0.36795506
 -0.3517193 ]",Ball_007,1
"[-0.27366251 -0.16973394 -0.04687739 ...  0.25631406  0.2721572
  0.24324871]",Ball_007,1
"[ 0.15696429  0.03645457 -0.08316095 ... -0.26834763 -0.22170169
 -0.14071077]",Ball_007,1
"[-0.04295625  0.08127934  0.22618811 ...  0.0058702  -0.01295556
 -0.0542398 ]",Ball_007,1
"[-0.06332693 -0.03998095  0.00150048 ...  0.08904843  0.02083365
 -0.08525761]",Ball_007,1
"[-0.16518147 -0.20983853 -0.18177903 ... -0.39812741 -0.54755746
 -0.61067039]",Ball_007,1
"[-0.55743456 -0.37591114 -0.13665647 ...  0.18958394  0.22680732
  0.27190341]",Ball_007,1
[0.29955884 0.26765756 0.16710245 ... 0.33995673 0.5119081  0.63941347],Ball_007,1
[0.69655811 0.60358888 0.3936473  ... 0.23254447 0.16987147 0.07358675],Ball_007,1
"[-0.0533781  -0.19379624 -0.31155432 ...  0.33309969  0.1444143
 -0.08948598]",Ball_007,1
"[-0.34567285 -0.54578795 -0.66509165 ...  0.4976247   0.52579706
  0.47681156]",Ball_007,1
"[ 0.34456814  0.15771372 -0.02222334 ...  0.32716277  0.46425079
  0.50593933]",Ball_007,1
"[ 0.47341917  0.41202231  0.32432232 ... -0.1271234  -0.1643088
 -0.22248254]",Ball_007,1
"[-0.28077044 -0.32212775 -0.350643   ... -0.23543825 -0.15782802
 -0.02275274]",Ball_007,1
"[ 0.17070326  0.39976386  0.57227786 ... -0.19019278 -0.1805074
 -0.130373  ]",Ball_007,1
"[-0.06285458 -0.01119937  0.01080349 ... -0.61704862 -0.56051457
 -0.42878513]",Ball_007,1
"[-0.25756181 -0.11169854 -0.00175572 ... -0.24732085 -0.1416272
 -0.02416259]",Ball_007,1
"[ 0.06363699  0.10298268  0.11174727 ...  0.03923306  0.00741062
 -0.03873112]",Ball_007,1
"[-0.12965092 -0.21361332 -0.23713421 ... -0.41276159 -0.1643088
  0.09661639]",Ball_007,1
[0.3256288  0.5002515  0.60157764 ... 0.89066638 0.86044103 0.70379644],Ball_007,1
"[ 0.46063399  0.16998122 -0.13200507 ...  0.26682964  0.28280688
  0.25358873]",Ball_007,1
"[ 0.19770656  0.09826476 -0.00873326 ...  0.09270479 -0.13052047
 -0.33480131]",Ball_007,1
"[-0.45558455 -0.4924569  -0.48088655 ... -0.21441366 -0.27308417
 -0.23564073]",Ball_007,1
"[-0.1263354  -0.01874865  0.07406783 ...  0.56893347  0.70863873
  0.78885945]",Ball_007,1
[0.74867533 0.53329503 0.23408166 ... 0.60365679 0.5595876  0.43450532],Ball_007,1
"[ 0.22991024 -0.00742481 -0.21945623 ...  0.02643692 -0.00092054
 -0.05376898]",Ball_007,1
"[-0.12822934 -0.19568476 -0.21759656 ... -0.45024525 -0.5170062
 -0.54439513]",Ball_007,1
"[-0.49443971 -0.35847338 -0.14549546 ... -0.25189075 -0.16523399
 -0.05189021]",Ball_007,1
"[ 0.10532623  0.28604523  0.45597066 ... -0.15637205 -0.17125106
 -0.17219715]",Ball_007,1
"[-0.14149595 -0.08386145 -0.03710901 ... -0.15911486 -0.29806655
 -0.35971649]",Ball_007,1
"[-0.31631007 -0.20559104 -0.07757972 ...  0.21289348  0.03471817
 -0.10922439]",Ball_007,1
"[-0.26798525 -0.41933591 -0.52833704 ... -0.14129095 -0.13699903
 -0.09559538]",Ball_007,1
"[-0.03869263  0.0256029   0.09313945 ...  0.31436882  0.26567865
  0.18825737]",Ball_007,1
"[ 0.07074265 -0.05083375 -0.1440996  ... -0.01560941  0.05461976
  0.0660694 ]",Ball_007,1
[0.02857879 0.0138081  0.02661958 ... 0.80566545 0.88174039 0.81188233],Ball_007,1
[0.62170914 0.39125984 0.16012535 ... 0.89340481 0.93589844 0.87439554],Ball_007,1
"[ 0.737775    0.54460357  0.31734299 ... -0.07090887 -0.0661831
 -0.04578036]",Ball_007,1
"[-0.01690013  0.00248351 -0.00454678 ...  0.18868574  0.05739755
 -0.0462505 ]",Ball_007,1
"[-0.10928092 -0.13481771 -0.139912   ... -0.20801669 -0.07682834
  0.11494458]",Ball_007,1
"[ 0.30714365  0.45684934  0.53459397 ... -0.72765938 -0.82433818
 -0.82073729]",Ball_007,1
"[-0.74741831 -0.5891901  -0.35806828 ...  0.02506551  0.0865577
  0.11353438]",Ball_007,1
"[ 0.10058912  0.05155372  0.01545489 ... -0.16551403 -0.16199471
 -0.16326959]",Ball_007,1
"[-0.13865278 -0.08150249  0.02987511 ... -0.15180215 -0.22910766
 -0.30612408]",Ball_007,1
"[-0.35468833 -0.3527965  -0.29900046 ...  0.22478923 -0.07682834
 -0.39542223]",Ball_007,1
"[-0.65551486 -0.78828816 -0.8232525  ...  0.67130701  0.62439533
  0.48902134]",Ball_007,1
"[ 0.28441191  0.04306102 -0.23108695 ... -0.05491336 -0.11061667
 -0.1181542 ]",Ball_007,1
"[-0.05953679  0.01286271  0.05406415 ...  0.76590341  0.75398861
  0.62720368]",Ball_007,1
"[ 0.3540378  -0.01686133 -0.37436824 ...  0.02597905  0.17635003
  0.3466264 ]",Ball_007,1
"[ 0.48336573  0.55263263  0.54946684 ...  0.02323843 -0.17356514
 -0.35219237]",Ball_007,1
"[-0.46553111 -0.50521292 -0.43856464 ... -0.11706788 -0.13144566
 -0.17924819]",Ball_007,1
"[-0.21255705 -0.21125436 -0.14875099 ...  0.21929045  0.25735859
  0.19577472]",Ball_007,1
"[ 0.08448161 -0.05743793 -0.18038316 ... -0.69703275 -0.63918908
 -0.48472037]",Ball_007,1
"[-0.24050733  0.05296955  0.32851437 ...  0.04837286 -0.08978989
 -0.20133619]",Ball_007,1
"[-0.24524443 -0.24003458 -0.21247913 ... -0.23955028 -0.32537854
 -0.33432824]",Ball_007,1
"[-0.303048   -0.23673248 -0.16875244 ... -0.32502222 -0.34297269
 -0.29249508]",Ball_007,1
"[-0.20166126 -0.10179    -0.00361628 ... -0.21075731 -0.18282149
 -0.12003298]",Ball_007,1
"[-0.04437851  0.03173665  0.1150028  ...  0.09407619  0.13145497
  0.11541315]",Ball_007,1
"[ 0.0527412  -0.02724143 -0.09339581 ...  0.25631406  0.22587547
  0.15676873]",Ball_007,1
[0.09158727 0.06618018 0.09779085 ... 0.05431416 0.16292699 0.24840746],Ball_007,1
[0.32846743 0.39363463 0.42109633 ... 0.26363115 0.30594775 0.31044759],Ball_007,1
"[ 0.28961228  0.22990967  0.12197989 ... -0.51787357 -0.46100663
 -0.29204453]",Ball_007,1
"[-0.04248254  0.19215726  0.36898553 ...  0.35960772  0.34437534
  0.31420965]",Ball_007,1
"[ 0.24412609  0.11477748 -0.04548152 ... -0.65179385 -0.39295962
 -0.07068697]",Ball_007,1
"[ 0.22566365  0.43751175  0.58063967 ... -0.42693571 -0.25178704
 -0.0251025 ]",Ball_007,1
[0.20386525 0.40306595 0.56436201 ... 0.31618714 0.42074241 0.45707766],Ball_007,1
"[ 0.40615503  0.30398057  0.1871039  ... -0.01926554  0.13145497
  0.23338176]",Ball_007,1
"[ 0.29104295  0.3176639   0.30015111 ...  0.17039958 -0.0430409
 -0.24457054]",Ball_007,1
"[-0.39495144 -0.44717753 -0.4208822  ...  0.52367266  0.3489902
  0.14267116]",Ball_007,1
"[-0.06474851 -0.24900677 -0.38413483 ...  0.45192574  0.54663049
  0.5994726 ]",Ball_007,1
[0.60322399 0.46770553 0.24059273 ... 0.43729156 0.47396862 0.45095024],Ball_007,1
[0.35926088 0.19640474 0.01871265 ... 0.20009952 0.12219641 0.02330361],Ball_007,1
"[-0.10359458 -0.22021976 -0.28319106 ... -0.1869921  -0.24484478
 -0.30049226]",Ball_007,1
"[-0.33904181 -0.33110673 -0.2645721  ...  0.13795026  0.09396367
  0.01155338]",Ball_007,1
